county,district_id,district_name,district_office_flag,age,year,population,deaths,death_rate
Hancock,5-2,North Central Health District,0,15-17,2005,446,0,0
Haralson,1-1,Northwest Georgia Health District,0,15-17,2005,1262,0,0
Harris,7,West Central Health District,0,15-17,2005,1335,0,0
Hart,2,North Health District,0,15-17,2005,980,1,0.0010204081632653062
Heard,4,District 4 Health District,0,15-17,2005,522,0,0
Irwin,8-1,South Health District,0,15-17,2005,581,0,0
Jasper,5-2,North Central Health District,0,15-17,2005,608,0,0
Jeff Davis,9-2,Southeast Health District,0,15-17,2005,631,0,0
Jefferson,6,East Central Health District,0,15-17,2005,863,0,0
Jenkins,6,East Central Health District,0,15-17,2005,417,0,0
Johnson,5-1,South Central Health District,0,15-17,2005,577,0,0
Jones,5-2,North Central Health District,0,15-17,2005,1264,0,0
Lamar,4,District 4 Health District,0,15-17,2005,761,0,0
Lanier,8-1,South Health District,0,15-17,2005,368,0,0
Lee,8-2,Southwest Health District,0,15-17,2005,1448,0,0
Lincoln,6,East Central Health District,0,15-17,2005,415,0,0
Long,9-1,Coastal Health District,0,15-17,2005,539,0,0
Lumpkin,2,North Health District,0,15-17,2005,1086,0,0
McDuffie,6,East Central Health District,0,15-17,2005,1050,0,0
McIntosh,9-1,Coastal Health District,0,15-17,2005,636,0,0
Macon,7,West Central Health District,0,15-17,2005,675,0,0
Madison,10,Northeast Health District,0,15-17,2005,1270,0,0
Marion,7,West Central Health District,0,15-17,2005,409,0,0
Meriwether,4,District 4 Health District,0,15-17,2005,1038,0,0
Miller,8-2,Southwest Health District,0,15-17,2005,307,0,0
Mitchell,8-2,Southwest Health District,0,15-17,2005,1017,0,0
Monroe,5-2,North Central Health District,0,15-17,2005,1134,0,0
Montgomery,5-1,South Central Health District,0,15-17,2005,406,0,0
Morgan,10,Northeast Health District,0,15-17,2005,734,0,0
Oconee,10,Northeast Health District,0,15-17,2005,1625,0,0
Oglethorpe,10,Northeast Health District,0,15-17,2005,592,0,0
Peach,5-2,North Central Health District,0,15-17,2005,1155,0,0
Pickens,1-2,North Georgia Health District,0,15-17,2005,1088,0,0
Pierce,9-2,Southeast Health District,0,15-17,2005,775,0,0
Pike,4,District 4 Health District,0,15-17,2005,800,0,0
Pulaski,5-1,South Central Health District,0,15-17,2005,384,0,0
Putnam,5-2,North Central Health District,0,15-17,2005,814,0,0
Quitman,7,West Central Health District,0,15-17,2005,120,0,0
Rabun,2,North Health District,0,15-17,2005,714,0,0
Randolph,7,West Central Health District,0,15-17,2005,356,0,0
Schley,7,West Central Health District,0,15-17,2005,218,0,0
Screven,6,East Central Health District,0,15-17,2005,820,0,0
Seminole,8-2,Southwest Health District,0,15-17,2005,393,0,0
Stephens,2,North Health District,0,15-17,2005,1003,0,0
Stewart,7,West Central Health District,0,15-17,2005,214,0,0
Sumter,7,West Central Health District,0,15-17,2005,1505,0,0
Talbot,7,West Central Health District,0,15-17,2005,299,0,0
Taliaferro,6,East Central Health District,0,15-17,2005,99,0,0
Tattnall,9-2,Southeast Health District,0,15-17,2005,937,0,0
Taylor,7,West Central Health District,0,15-17,2005,417,0,0
Telfair,5-1,South Central Health District,0,15-17,2005,523,0,0
Terrell,8-2,Southwest Health District,0,15-17,2005,450,0,0
Toombs,9-2,Southeast Health District,0,15-17,2005,1323,0,0
Towns,2,North Health District,0,15-17,2005,290,0,0
Treutlen,5-1,South Central Health District,0,15-17,2005,265,0,0
Turner,8-1,South Health District,0,15-17,2005,442,0,0
Twiggs,5-2,North Central Health District,0,15-17,2005,461,0,0
Union,2,North Health District,0,15-17,2005,681,0,0
Upson,4,District 4 Health District,0,15-17,2005,1282,0,0
Warren,6,East Central Health District,0,15-17,2005,298,0,0
Washington,5-2,North Central Health District,0,15-17,2005,987,0,0
Wayne,9-2,Southeast Health District,0,15-17,2005,1287,0,0
Webster,7,West Central Health District,0,15-17,2005,105,0,0
Wheeler,5-1,South Central Health District,0,15-17,2005,242,0,0
White,2,North Health District,0,15-17,2005,945,0,0
Wilcox,5-1,South Central Health District,0,15-17,2005,320,0,0
Wilkes,6,East Central Health District,0,15-17,2005,439,0,0
Wilkinson,5-2,North Central Health District,0,15-17,2005,448,0,0
Worth,8-2,Southwest Health District,0,15-17,2005,1159,0,0
Baldwin,5-2,North Central Health District,0,15-17,2005,2153,0,0
Barrow,10,Northeast Health District,0,15-17,2005,2479,0,0
Bartow,1-1,Northwest Georgia Health District,0,15-17,2005,4099,0,0
Bibb,5-2,North Central Health District,1,15-17,2005,6591,0,0
Bulloch,9-2,Southeast Health District,0,15-17,2005,2437,0,0
Camden,9-1,Coastal Health District,0,15-17,2005,2412,0,0
Carroll,4,District 4 Health District,0,15-17,2005,3973,1,2.516989680342311e-4
Catoosa,1-1,Northwest Georgia Health District,0,15-17,2005,2614,0,0
Chatham,9-1,Coastal Health District,0,15-17,2005,10064,0,0
Cherokee,1-2,North Georgia Health District,1,15-17,2005,7526,0,0
Clarke,10,Northeast Health District,1,15-17,2005,3127,0,0
Clayton,3-3,Clayton County Health District,1,15-17,2005,12479,0,0
Cobb,3-1,Cobb/Douglas Health District,1,15-17,2005,28695,0,0
Coffee,9-2,Southeast Health District,0,15-17,2005,1757,0,0
Colquitt,8-2,Southwest Health District,0,15-17,2005,1973,0,0
Columbia,6,East Central Health District,0,15-17,2005,5522,0,0
Coweta,4,District 4 Health District,0,15-17,2005,4847,1,2.0631318341242006e-4
DeKalb,3-5,DeKalb Health District,1,15-17,2005,25863,0,0
Dougherty,8-2,Southwest Health District,1,15-17,2005,4376,0,0
Douglas,3-1,Cobb/Douglas Health District,0,15-17,2005,5189,0,0
Effingham,9-1,Coastal Health District,0,15-17,2005,2441,0,0
Fayette,4,District 4 Health District,0,15-17,2005,6171,0,0
Floyd,1-1,Northwest Georgia Health District,1,15-17,2005,3994,0,0
Forsyth,2,North Health District,0,15-17,2005,5343,0,0
Fulton,3-2,Fulton County Board of Health,1,15-17,2005,31143,1,3.21099444497961e-5
Glynn,9-1,Coastal Health District,1,15-17,2005,3265,0,0
Gordon,1-1,Northwest Georgia Health District,0,15-17,2005,2180,0,0
Gwinnett,3-4,East Metro Health District,1,15-17,2005,31941,0,0
Habersham,2,North Health District,0,15-17,2005,1509,0,0
Hall,2,North Health District,1,15-17,2005,6596,1,1.5160703456640388e-4
Henry,4,District 4 Health District,0,15-17,2005,8151,0,0
Houston,5-2,North Central Health District,0,15-17,2005,6060,0,0
Jackson,10,Northeast Health District,0,15-17,2005,2077,0,0
Laurens,5-1,South Central Health District,1,15-17,2005,2157,0,0
Liberty,9-1,Coastal Health District,0,15-17,2005,3055,0,0
Lowndes,8-1,South Health District,1,15-17,2005,4686,0,0
Murray,1-2,North Georgia Health District,0,15-17,2005,1771,0,0
Muscogee,7,West Central Health District,1,15-17,2005,8198,0,0
Newton,3-4,East Metro Health District,0,15-17,2005,3738,0,0
Paulding,1-1,Northwest Georgia Health District,0,15-17,2005,5246,0,0
Polk,1-1,Northwest Georgia Health District,0,15-17,2005,1725,0,0
Richmond,6,East Central Health District,1,15-17,2005,8837,0,0
Rockdale,3-4,East Metro Health District,0,15-17,2005,3952,0,0
Spalding,4,District 4 Health District,0,15-17,2005,2569,0,0
Thomas,8-2,Southwest Health District,0,15-17,2005,2064,0,0
Tift,8-1,South Health District,0,15-17,2005,1698,0,0
Troup,4,District 4 Health District,1,15-17,2005,3059,0,0
Walker,1-1,Northwest Georgia Health District,0,15-17,2005,2753,0,0
Walton,10,Northeast Health District,0,15-17,2005,3242,0,0
Ware,9-2,Southeast Health District,1,15-17,2005,1548,0,0
Whitfield,1-2,North Georgia Health District,0,15-17,2005,3965,0,0
Appling,9-2,Southeast Health District,0,15-17,2006,819,0,0
Atkinson,9-2,Southeast Health District,0,15-17,2006,371,0,0
Bacon,9-2,Southeast Health District,0,15-17,2006,426,0,0
Baker,8-2,Southwest Health District,0,15-17,2006,187,0,0
Banks,2,North Health District,0,15-17,2006,725,0,0
Ben Hill,8-1,South Health District,0,15-17,2006,809,0,0
Berrien,8-1,South Health District,0,15-17,2006,870,0,0
Bleckley,5-1,South Central Health District,0,15-17,2006,791,0,0
Brantley,9-2,Southeast Health District,0,15-17,2006,800,0,0
Brooks,8-1,South Health District,0,15-17,2006,754,0,0
Bryan,9-1,Coastal Health District,0,15-17,2006,1499,0,0
Burke,6,East Central Health District,0,15-17,2006,1153,0,0
Butts,4,District 4 Health District,0,15-17,2006,900,0,0
Calhoun,8-2,Southwest Health District,0,15-17,2006,248,0,0
Candler,9-2,Southeast Health District,0,15-17,2006,489,0,0
Charlton,9-2,Southeast Health District,0,15-17,2006,615,0,0
Chattahoochee,7,West Central Health District,0,15-17,2006,394,0,0
Chattooga,1-1,Northwest Georgia Health District,0,15-17,2006,942,0,0
Clay,7,West Central Health District,0,15-17,2006,135,0,0
Clinch,9-2,Southeast Health District,0,15-17,2006,325,0,0
Cook,8-1,South Health District,0,15-17,2006,776,0,0
Crawford,5-2,North Central Health District,0,15-17,2006,658,0,0
Crisp,7,West Central Health District,0,15-17,2006,1050,0,0
Dade,1-1,Northwest Georgia Health District,0,15-17,2006,722,0,0
Dawson,2,North Health District,0,15-17,2006,823,0,0
Decatur,8-2,Southwest Health District,0,15-17,2006,1399,0,0
Dodge,5-1,South Central Health District,0,15-17,2006,1222,0,0
Dooly,7,West Central Health District,0,15-17,2006,595,0,0
Early,8-2,Southwest Health District,0,15-17,2006,624,0,0
Echols,8-1,South Health District,0,15-17,2006,206,0,0
Elbert,10,Northeast Health District,0,15-17,2006,1024,0,0
Emanuel,6,East Central Health District,0,15-17,2006,1098,0,0
Evans,9-2,Southeast Health District,0,15-17,2006,541,0,0
Fannin,1-2,North Georgia Health District,0,15-17,2006,858,0,0
Franklin,2,North Health District,0,15-17,2006,898,0,0
Gilmer,1-2,North Georgia Health District,0,15-17,2006,1105,0,0
Glascock,6,East Central Health District,0,15-17,2006,131,0,0
Grady,8-2,Southwest Health District,0,15-17,2006,1156,0,0
Greene,10,Northeast Health District,0,15-17,2006,573,0,0
Hancock,5-2,North Central Health District,0,15-17,2006,439,0,0
Haralson,1-1,Northwest Georgia Health District,0,15-17,2006,1289,0,0
Harris,7,West Central Health District,0,15-17,2006,1432,0,0
Hart,2,North Health District,0,15-17,2006,1009,0,0
Heard,4,District 4 Health District,0,15-17,2006,550,0,0
Irwin,8-1,South Health District,0,15-17,2006,566,0,0
Jasper,5-2,North Central Health District,0,15-17,2006,595,0,0
Jeff Davis,9-2,Southeast Health District,0,15-17,2006,645,0,0
Jefferson,6,East Central Health District,0,15-17,2006,823,0,0
Jenkins,6,East Central Health District,0,15-17,2006,426,0,0
Johnson,5-1,South Central Health District,0,15-17,2006,546,0,0
Jones,5-2,North Central Health District,0,15-17,2006,1326,0,0
Lamar,4,District 4 Health District,0,15-17,2006,774,0,0
Lanier,8-1,South Health District,0,15-17,2006,386,0,0
Lee,8-2,Southwest Health District,0,15-17,2006,1478,0,0
Lincoln,6,East Central Health District,0,15-17,2006,416,0,0
Long,9-1,Coastal Health District,0,15-17,2006,573,0,0
Lumpkin,2,North Health District,0,15-17,2006,1131,0,0
McDuffie,6,East Central Health District,0,15-17,2006,1033,0,0
McIntosh,9-1,Coastal Health District,0,15-17,2006,704,0,0
Macon,7,West Central Health District,0,15-17,2006,692,0,0
Madison,10,Northeast Health District,0,15-17,2006,1291,0,0
Marion,7,West Central Health District,0,15-17,2006,417,0,0
Meriwether,4,District 4 Health District,0,15-17,2006,1024,0,0
Miller,8-2,Southwest Health District,0,15-17,2006,299,0,0
Mitchell,8-2,Southwest Health District,0,15-17,2006,1040,0,0
Monroe,5-2,North Central Health District,0,15-17,2006,1166,0,0
Montgomery,5-1,South Central Health District,0,15-17,2006,399,0,0
Morgan,10,Northeast Health District,0,15-17,2006,780,0,0
Oconee,10,Northeast Health District,0,15-17,2006,1668,0,0
Oglethorpe,10,Northeast Health District,0,15-17,2006,607,0,0
Peach,5-2,North Central Health District,0,15-17,2006,1237,0,0
Pickens,1-2,North Georgia Health District,0,15-17,2006,1099,0,0
Pierce,9-2,Southeast Health District,0,15-17,2006,788,0,0
Pike,4,District 4 Health District,0,15-17,2006,799,0,0
Pulaski,5-1,South Central Health District,0,15-17,2006,409,0,0
Putnam,5-2,North Central Health District,0,15-17,2006,811,0,0
Quitman,7,West Central Health District,0,15-17,2006,112,0,0
Rabun,2,North Health District,0,15-17,2006,721,0,0
Randolph,7,West Central Health District,0,15-17,2006,365,0,0
Schley,7,West Central Health District,0,15-17,2006,219,0,0
Screven,6,East Central Health District,0,15-17,2006,843,0,0
Seminole,8-2,Southwest Health District,0,15-17,2006,400,0,0
Stephens,2,North Health District,0,15-17,2006,1016,0,0
Stewart,7,West Central Health District,0,15-17,2006,200,0,0
Sumter,7,West Central Health District,0,15-17,2006,1546,0,0
Talbot,7,West Central Health District,0,15-17,2006,295,0,0
Taliaferro,6,East Central Health District,0,15-17,2006,108,0,0
Tattnall,9-2,Southeast Health District,0,15-17,2006,930,0,0
Taylor,7,West Central Health District,0,15-17,2006,437,0,0
Telfair,5-1,South Central Health District,0,15-17,2006,549,0,0
Terrell,8-2,Southwest Health District,0,15-17,2006,437,0,0
Toombs,9-2,Southeast Health District,0,15-17,2006,1311,0,0
Towns,2,North Health District,0,15-17,2006,306,0,0
Treutlen,5-1,South Central Health District,0,15-17,2006,279,0,0
Turner,8-1,South Health District,0,15-17,2006,415,0,0
Twiggs,5-2,North Central Health District,0,15-17,2006,442,0,0
Union,2,North Health District,0,15-17,2006,698,0,0
Upson,4,District 4 Health District,0,15-17,2006,1274,0,0
Warren,6,East Central Health District,0,15-17,2006,284,0,0
Washington,5-2,North Central Health District,0,15-17,2006,1042,0,0
Wayne,9-2,Southeast Health District,0,15-17,2006,1314,0,0
Webster,7,West Central Health District,0,15-17,2006,98,0,0
Wheeler,5-1,South Central Health District,0,15-17,2006,248,0,0
White,2,North Health District,0,15-17,2006,974,0,0
Wilcox,5-1,South Central Health District,0,15-17,2006,319,0,0
Wilkes,6,East Central Health District,0,15-17,2006,440,0,0
Wilkinson,5-2,North Central Health District,0,15-17,2006,425,0,0
Worth,8-2,Southwest Health District,0,15-17,2006,1131,0,0
Baldwin,5-2,North Central Health District,0,15-17,2006,2165,0,0
Barrow,10,Northeast Health District,0,15-17,2006,2642,0,0
Bartow,1-1,Northwest Georgia Health District,0,15-17,2006,4269,0,0
Bibb,5-2,North Central Health District,1,15-17,2006,6683,0,0
Bulloch,9-2,Southeast Health District,0,15-17,2006,2390,0,0
Camden,9-1,Coastal Health District,0,15-17,2006,2421,0,0
Carroll,4,District 4 Health District,0,15-17,2006,4327,1,0.00023110700254217703
Catoosa,1-1,Northwest Georgia Health District,0,15-17,2006,2714,0,0
Chatham,9-1,Coastal Health District,0,15-17,2006,10329,0,0
Cherokee,1-2,North Georgia Health District,1,15-17,2006,7928,0,0
Clarke,10,Northeast Health District,1,15-17,2006,3160,0,0
Clayton,3-3,Clayton County Health District,1,15-17,2006,12829,0,0
Cobb,3-1,Cobb/Douglas Health District,1,15-17,2006,29484,0,0
Coffee,9-2,Southeast Health District,0,15-17,2006,1826,0,0
Colquitt,8-2,Southwest Health District,0,15-17,2006,2035,0,0
Columbia,6,East Central Health District,0,15-17,2006,5833,0,0
Coweta,4,District 4 Health District,0,15-17,2006,5075,0,0
DeKalb,3-5,DeKalb Health District,1,15-17,2006,26604,0,0
Dougherty,8-2,Southwest Health District,1,15-17,2006,4426,0,0
Douglas,3-1,Cobb/Douglas Health District,0,15-17,2006,5542,0,0
Effingham,9-1,Coastal Health District,0,15-17,2006,2541,0,0
Fayette,4,District 4 Health District,0,15-17,2006,6374,0,0
Floyd,1-1,Northwest Georgia Health District,1,15-17,2006,4090,0,0
Forsyth,2,North Health District,0,15-17,2006,5789,0,0
Fulton,3-2,Fulton County Board of Health,1,15-17,2006,32165,0,0
Glynn,9-1,Coastal Health District,1,15-17,2006,3291,0,0
Gordon,1-1,Northwest Georgia Health District,0,15-17,2006,2271,0,0
Gwinnett,3-4,East Metro Health District,1,15-17,2006,33550,0,0
Habersham,2,North Health District,0,15-17,2006,1574,0,0
Hall,2,North Health District,1,15-17,2006,6761,1,1.4790711433219938e-4
Henry,4,District 4 Health District,0,15-17,2006,9032,0,0
Houston,5-2,North Central Health District,0,15-17,2006,6164,0,0
Jackson,10,Northeast Health District,0,15-17,2006,2204,0,0
Laurens,5-1,South Central Health District,1,15-17,2006,2183,0,0
Liberty,9-1,Coastal Health District,0,15-17,2006,2753,0,0
Lowndes,8-1,South Health District,1,15-17,2006,4726,0,0
Murray,1-2,North Georgia Health District,0,15-17,2006,1824,0,0
Muscogee,7,West Central Health District,1,15-17,2006,8514,0,0
Newton,3-4,East Metro Health District,0,15-17,2006,4090,0,0
Paulding,1-1,Northwest Georgia Health District,0,15-17,2006,5747,0,0
Polk,1-1,Northwest Georgia Health District,0,15-17,2006,1728,0,0
Richmond,6,East Central Health District,1,15-17,2006,8926,0,0
Rockdale,3-4,East Metro Health District,0,15-17,2006,4101,0,0
Spalding,4,District 4 Health District,0,15-17,2006,2657,0,0
Thomas,8-2,Southwest Health District,0,15-17,2006,2088,0,0
Tift,8-1,South Health District,0,15-17,2006,1763,0,0
Troup,4,District 4 Health District,1,15-17,2006,3130,0,0
Walker,1-1,Northwest Georgia Health District,0,15-17,2006,2835,0,0
Walton,10,Northeast Health District,0,15-17,2006,3396,0,0
Ware,9-2,Southeast Health District,1,15-17,2006,1571,0,0
Whitfield,1-2,North Georgia Health District,0,15-17,2006,4119,0,0
Appling,9-2,Southeast Health District,0,15-17,2007,844,0,0
Atkinson,9-2,Southeast Health District,0,15-17,2007,389,0,0
Bacon,9-2,Southeast Health District,0,15-17,2007,429,0,0
Baker,8-2,Southwest Health District,0,15-17,2007,185,0,0
Banks,2,North Health District,0,15-17,2007,754,0,0
Ben Hill,8-1,South Health District,0,15-17,2007,796,0,0
Berrien,8-1,South Health District,0,15-17,2007,886,0,0
Bleckley,5-1,South Central Health District,0,15-17,2007,914,0,0
Brantley,9-2,Southeast Health District,0,15-17,2007,817,0,0
Brooks,8-1,South Health District,0,15-17,2007,747,0,0
Bryan,9-1,Coastal Health District,0,15-17,2007,1570,0,0
Burke,6,East Central Health District,0,15-17,2007,1230,0,0
Butts,4,District 4 Health District,0,15-17,2007,908,0,0
Calhoun,8-2,Southwest Health District,0,15-17,2007,243,0,0
Candler,9-2,Southeast Health District,0,15-17,2007,470,0,0
Charlton,9-2,Southeast Health District,0,15-17,2007,592,0,0
Chattahoochee,7,West Central Health District,0,15-17,2007,363,0,0
Chattooga,1-1,Northwest Georgia Health District,0,15-17,2007,992,0,0
Clay,7,West Central Health District,0,15-17,2007,140,0,0
Clinch,9-2,Southeast Health District,0,15-17,2007,336,0,0
Cook,8-1,South Health District,0,15-17,2007,776,0,0
Crawford,5-2,North Central Health District,0,15-17,2007,630,0,0
Crisp,7,West Central Health District,0,15-17,2007,1103,0,0
Dade,1-1,Northwest Georgia Health District,0,15-17,2007,741,0,0
Dawson,2,North Health District,0,15-17,2007,845,0,0
Decatur,8-2,Southwest Health District,0,15-17,2007,1406,0,0
Dodge,5-1,South Central Health District,0,15-17,2007,1235,0,0
Dooly,7,West Central Health District,0,15-17,2007,596,0,0
Early,8-2,Southwest Health District,0,15-17,2007,617,0,0
Echols,8-1,South Health District,0,15-17,2007,222,0,0
Elbert,10,Northeast Health District,0,15-17,2007,1025,1,9.75609756097561e-4
Emanuel,6,East Central Health District,0,15-17,2007,1070,0,0
Evans,9-2,Southeast Health District,0,15-17,2007,541,0,0
Fannin,1-2,North Georgia Health District,0,15-17,2007,859,0,0
Franklin,2,North Health District,0,15-17,2007,919,0,0
Gilmer,1-2,North Georgia Health District,0,15-17,2007,1097,0,0
Glascock,6,East Central Health District,0,15-17,2007,137,0,0
Grady,8-2,Southwest Health District,0,15-17,2007,1175,0,0
Greene,10,Northeast Health District,0,15-17,2007,562,0,0
Hancock,5-2,North Central Health District,0,15-17,2007,438,0,0
Haralson,1-1,Northwest Georgia Health District,0,15-17,2007,1298,0,0
Harris,7,West Central Health District,0,15-17,2007,1512,0,0
Hart,2,North Health District,0,15-17,2007,1041,0,0
Heard,4,District 4 Health District,0,15-17,2007,553,0,0
Irwin,8-1,South Health District,0,15-17,2007,509,0,0
Jasper,5-2,North Central Health District,0,15-17,2007,609,0,0
Jeff Davis,9-2,Southeast Health District,0,15-17,2007,647,0,0
Jefferson,6,East Central Health District,0,15-17,2007,807,0,0
Jenkins,6,East Central Health District,0,15-17,2007,435,0,0
Johnson,5-1,South Central Health District,0,15-17,2007,507,0,0
Jones,5-2,North Central Health District,0,15-17,2007,1334,0,0
Lamar,4,District 4 Health District,0,15-17,2007,808,0,0
Lanier,8-1,South Health District,0,15-17,2007,414,0,0
Lee,8-2,Southwest Health District,0,15-17,2007,1505,0,0
Lincoln,6,East Central Health District,0,15-17,2007,425,0,0
Long,9-1,Coastal Health District,0,15-17,2007,564,0,0
Lumpkin,2,North Health District,0,15-17,2007,1207,0,0
McDuffie,6,East Central Health District,0,15-17,2007,1022,0,0
McIntosh,9-1,Coastal Health District,0,15-17,2007,730,0,0
Macon,7,West Central Health District,0,15-17,2007,701,0,0
Madison,10,Northeast Health District,0,15-17,2007,1331,0,0
Marion,7,West Central Health District,0,15-17,2007,452,0,0
Meriwether,4,District 4 Health District,0,15-17,2007,995,0,0
Miller,8-2,Southwest Health District,0,15-17,2007,289,0,0
Mitchell,8-2,Southwest Health District,0,15-17,2007,1079,0,0
Monroe,5-2,North Central Health District,0,15-17,2007,1178,0,0
Montgomery,5-1,South Central Health District,0,15-17,2007,412,0,0
Morgan,10,Northeast Health District,0,15-17,2007,817,0,0
Oconee,10,Northeast Health District,0,15-17,2007,1704,0,0
Oglethorpe,10,Northeast Health District,0,15-17,2007,645,0,0
Peach,5-2,North Central Health District,0,15-17,2007,1413,0,0
Pickens,1-2,North Georgia Health District,0,15-17,2007,1105,0,0
Pierce,9-2,Southeast Health District,0,15-17,2007,817,0,0
Pike,4,District 4 Health District,0,15-17,2007,808,0,0
Pulaski,5-1,South Central Health District,0,15-17,2007,420,0,0
Putnam,5-2,North Central Health District,0,15-17,2007,821,0,0
Quitman,7,West Central Health District,0,15-17,2007,112,0,0
Rabun,2,North Health District,0,15-17,2007,737,1,0.0013568521031207597
Randolph,7,West Central Health District,0,15-17,2007,345,0,0
Schley,7,West Central Health District,0,15-17,2007,245,0,0
Screven,6,East Central Health District,0,15-17,2007,840,0,0
Seminole,8-2,Southwest Health District,0,15-17,2007,387,0,0
Stephens,2,North Health District,0,15-17,2007,1012,0,0
Stewart,7,West Central Health District,0,15-17,2007,207,0,0
Sumter,7,West Central Health District,0,15-17,2007,1634,0,0
Talbot,7,West Central Health District,0,15-17,2007,303,0,0
Taliaferro,6,East Central Health District,0,15-17,2007,106,0,0
Tattnall,9-2,Southeast Health District,0,15-17,2007,908,0,0
Taylor,7,West Central Health District,0,15-17,2007,479,0,0
Telfair,5-1,South Central Health District,0,15-17,2007,567,0,0
Terrell,8-2,Southwest Health District,0,15-17,2007,433,0,0
Toombs,9-2,Southeast Health District,0,15-17,2007,1295,0,0
Towns,2,North Health District,0,15-17,2007,332,0,0
Treutlen,5-1,South Central Health District,0,15-17,2007,263,0,0
Turner,8-1,South Health District,0,15-17,2007,404,0,0
Twiggs,5-2,North Central Health District,0,15-17,2007,421,0,0
Union,2,North Health District,0,15-17,2007,705,0,0
Upson,4,District 4 Health District,0,15-17,2007,1330,0,0
Warren,6,East Central Health District,0,15-17,2007,287,0,0
Washington,5-2,North Central Health District,0,15-17,2007,1030,0,0
Wayne,9-2,Southeast Health District,0,15-17,2007,1363,0,0
Webster,7,West Central Health District,0,15-17,2007,101,0,0
Wheeler,5-1,South Central Health District,0,15-17,2007,243,0,0
White,2,North Health District,0,15-17,2007,986,0,0
Wilcox,5-1,South Central Health District,0,15-17,2007,314,0,0
Wilkes,6,East Central Health District,0,15-17,2007,422,0,0
Wilkinson,5-2,North Central Health District,0,15-17,2007,418,0,0
Worth,8-2,Southwest Health District,0,15-17,2007,1092,0,0
Baldwin,5-2,North Central Health District,0,15-17,2007,2233,0,0
Barrow,10,Northeast Health District,0,15-17,2007,2820,0,0
Bartow,1-1,Northwest Georgia Health District,0,15-17,2007,4399,0,0
Bibb,5-2,North Central Health District,1,15-17,2007,6782,0,0
Bulloch,9-2,Southeast Health District,0,15-17,2007,2422,0,0
Camden,9-1,Coastal Health District,0,15-17,2007,2456,0,0
Carroll,4,District 4 Health District,0,15-17,2007,4560,0,0
Catoosa,1-1,Northwest Georgia Health District,0,15-17,2007,2790,0,0
Chatham,9-1,Coastal Health District,0,15-17,2007,10571,0,0
Cherokee,1-2,North Georgia Health District,1,15-17,2007,8348,0,0
Clarke,10,Northeast Health District,1,15-17,2007,3203,0,0
Clayton,3-3,Clayton County Health District,1,15-17,2007,13194,0,0
Cobb,3-1,Cobb/Douglas Health District,1,15-17,2007,29816,0,0
Coffee,9-2,Southeast Health District,0,15-17,2007,1836,0,0
Colquitt,8-2,Southwest Health District,0,15-17,2007,2057,0,0
Columbia,6,East Central Health District,0,15-17,2007,6057,0,0
Coweta,4,District 4 Health District,0,15-17,2007,5240,0,0
DeKalb,3-5,DeKalb Health District,1,15-17,2007,26630,1,3.755163349605708e-5
Dougherty,8-2,Southwest Health District,1,15-17,2007,4433,0,0
Douglas,3-1,Cobb/Douglas Health District,0,15-17,2007,5898,0,0
Effingham,9-1,Coastal Health District,0,15-17,2007,2689,0,0
Fayette,4,District 4 Health District,0,15-17,2007,6444,0,0
Floyd,1-1,Northwest Georgia Health District,1,15-17,2007,4080,1,2.4509803921568627e-4
Forsyth,2,North Health District,0,15-17,2007,6163,1,1.6225864027259452e-4
Fulton,3-2,Fulton County Board of Health,1,15-17,2007,33234,0,0
Glynn,9-1,Coastal Health District,1,15-17,2007,3348,0,0
Gordon,1-1,Northwest Georgia Health District,0,15-17,2007,2330,0,0
Gwinnett,3-4,East Metro Health District,1,15-17,2007,35198,0,0
Habersham,2,North Health District,0,15-17,2007,1610,0,0
Hall,2,North Health District,1,15-17,2007,7042,0,0
Henry,4,District 4 Health District,0,15-17,2007,9777,0,0
Houston,5-2,North Central Health District,0,15-17,2007,6266,0,0
Jackson,10,Northeast Health District,0,15-17,2007,2341,1,4.2716787697565144e-4
Laurens,5-1,South Central Health District,1,15-17,2007,2236,0,0
Liberty,9-1,Coastal Health District,0,15-17,2007,2817,0,0
Lowndes,8-1,South Health District,1,15-17,2007,4807,0,0
Murray,1-2,North Georgia Health District,0,15-17,2007,1807,0,0
Muscogee,7,West Central Health District,1,15-17,2007,8182,0,0
Newton,3-4,East Metro Health District,0,15-17,2007,4440,0,0
Paulding,1-1,Northwest Georgia Health District,0,15-17,2007,6316,0,0
Polk,1-1,Northwest Georgia Health District,0,15-17,2007,1722,0,0
Richmond,6,East Central Health District,1,15-17,2007,8918,0,0
Rockdale,3-4,East Metro Health District,0,15-17,2007,4305,0,0
Spalding,4,District 4 Health District,0,15-17,2007,2700,0,0
Thomas,8-2,Southwest Health District,0,15-17,2007,2099,0,0
Tift,8-1,South Health District,0,15-17,2007,1816,0,0
Troup,4,District 4 Health District,1,15-17,2007,3206,0,0
Walker,1-1,Northwest Georgia Health District,0,15-17,2007,2902,0,0
Walton,10,Northeast Health District,0,15-17,2007,3556,0,0
Ware,9-2,Southeast Health District,1,15-17,2007,1576,0,0
Whitfield,1-2,North Georgia Health District,0,15-17,2007,4208,0,0
Appling,9-2,Southeast Health District,0,15-17,2008,855,0,0
Atkinson,9-2,Southeast Health District,0,15-17,2008,402,0,0
Bacon,9-2,Southeast Health District,0,15-17,2008,434,0,0
